userName,score,at,content
Nia Fitria,2,2026-05-05 05:26:44,"izin saran, kalo bisa nama dan nomor Abang kurir nya di munculin lagi biar disaat orang yang pesan pake bisa menghubungi Abang kurirnya jika ada masalah, contohnya saya salah alamat terus mau chat Abang kurirnya tidak bisa karena nomor tidak tertera pada pelacakan paket saya sudah mengadu ke costumer service dan mau di bantu sampe sekarang Abang kurirnya belom menghubungi saya, tolong di perbaiki lagi aplikasi nya terimakasih 🙏"
roni rwa,5,2026-05-05 05:26:39,"jangan ragu Pokoknya mantap banget lah,oke banget .pengiriman cepat barang sesuai deskripsi...trmksh shopie."
Hafidz Toboalimu,5,2026-05-05 05:25:18,biar bintang berbicara
ahmad mursalaat,5,2026-05-05 05:23:36,Mantap. tingkatkan
Putra Pernando,5,2026-05-05 05:21:49,tempat belanja yang lengkap dan aman buat keluarga anda
Mbak Din,5,2026-05-05 05:21:02,Barang bagus terbukti mencerah kan Saya suka 😊
Saya Saja,1,2026-05-05 05:20:30,barang barang reject di jual
Titik Handarmani,5,2026-05-05 05:18:39,ehh turunin dong semua harga sticker and sticker book jadi 5.000 🤗
Wahyuni Yuni,5,2026-05-05 05:17:30,"bagus, still the best"
Muhammad,5,2026-05-05 05:17:19,"Shopee platform paling OK daripada yang lain. Penggunaannya simple, lebih mudah dipahami oleh orang-orang awam. Saran saya; Ongkirnya jangan Rp0 donk! Ada lebihnya Rp5.000-Rp7.500 gitu! Agar Kinerjanya lebih BAGUS dan Maksimal, kerjanya lebih SEMANGAT. Saya lebih memilih Shopee daripada yang lain.👍"
DEWI DEWI,3,2026-05-05 05:16:15,buat pegalaman saya aplikasi shoppe mau pesan barang enak.yg egak enaknya pas pelayanan kurirnya kadang ada yg baik dan ada yg egak.pegalaman ku berpa hari ini paket ku selalu egak di kirim.dia bnyak alasan trus besok nya baru di kirim kurir yg lain bagus.sebenar nya pihak kantor shopoe tolong di tegas kan buat kurir2 harus sopan santu dan meghargai pesanan pelanggan biar pun COD atau egak COD harus pelayanan baik terhadap pelanggan.sebelum nya terimakasih.
Mas Doy,5,2026-05-05 05:16:07,ok
